jurisdiction_com_code,jurisdiction_com_name,subjurisdiction_name,subjurisdiction_code
AK,Alaska,Aleutians East,013
AK,Alaska,Aleutians West,016
AK,Alaska,Anchorage,020
AK,Alaska,Bethel,050
AK,Alaska,Bristol Bay,060
AK,Alaska,Denali,068
AK,Alaska,Dillingham,070
AK,Alaska,Fairbanks North Star,090
AK,Alaska,Haines,100
AK,Alaska,Hoonah-Angoon,105
AK,Alaska,Juneau,110
AK,Alaska,Kenai Peninsula,122
AK,Alaska,Ketchikan Gateway,130
AK,Alaska,Kodiak Island,150
AK,Alaska,Kusilvak,158
AK,Alaska,Lake and Peninsula,164
AK,Alaska,Matanuska-Susitna,170
AK,Alaska,Nome,180
AK,Alaska,North Slope,185
AK,Alaska,Northwest Arctic,188
AK,Alaska,Petersburg,195
AK,Alaska,Prince of Wales-Hyder,198
AK,Alaska,Sitka,220
AK,Alaska,Skagway,230
AK,Alaska,Southeast Fairbanks,240
AK,Alaska,Valdez-Cordova,261
AK,Alaska,Wrangell,275
AK,Alaska,Yakutat,282
AK,Alaska,Yukon-Koyukuk,290
AL,Alabama,Autauga,001
AL,Alabama,Baldwin,003
AL,Alabama,Barbour,005
AL,Alabama,Bibb,007
AL,Alabama,Blount,009
AL,Alabama,Bullock,011
AL,Alabama,Butler,013
AL,Alabama,Calhoun,015
AL,Alabama,Chambers,017
AL,Alabama,Cherokee,019
AL,Alabama,Chilton,021
AL,Alabama,Choctaw,023
AL,Alabama,Clarke,025
AL,Alabama,Clay,027
AL,Alabama,Cleburne,029
AL,Alabama,Coffee,031
AL,Alabama,Colbert,033
AL,Alabama,Conecuh,035
AL,Alabama,Coosa,037
AL,Alabama,Covington,039
AL,Alabama,Crenshaw,041
AL,Alabama,Cullman,043
AL,Alabama,Dale,045
AL,Alabama,Dallas,047
AL,Alabama,DeKalb,049
AL,Alabama,Elmore,051
AL,Alabama,Escambia,053
AL,Alabama,Etowah,055
AL,Alabama,Fayette,057
AL,Alabama,Franklin,059
AL,Alabama,Geneva,061
AL,Alabama,Greene,063
AL,Alabama,Hale,065
AL,Alabama,Henry,067
AL,Alabama,Houston,069
AL,Alabama,Jackson,071
AL,Alabama,Jefferson,073
AL,Alabama,Lamar,075
AL,Alabama,Lauderdale,077
AL,Alabama,Lawrence,079
AL,Alabama,Lee,081
AL,Alabama,Limestone,083
